비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","동구","대구환경공단","24시간 이용가능","","대구광역시 동구 화랑로41길 46","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 동구)효목1동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 고성로31길 21","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 북구)고성동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 대천로 81","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 북구)동천동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 호국로43길 20","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 북구)무태조야동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 대학로15길 16","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 북구)산격3동 행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 태전로7길 10-24","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 북구)태전1동 행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 청호로57길 10","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 수성구)황금1동 행정복지센터",1
"","중구","대구환경공단","24시간 이용가능","","대구광역시 중구 남산로4길 70","대구광역시","DC차데모+AC3상+DC콤보","대구시_(대구 중구)남산3동 행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 희망로 226KS택시주식회사","대구광역시","DC차데모+AC3상+DC콤보","대구시_KS택시주식회사",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 이천로 51","대구광역시","DC차데모+AC3상+DC콤보","대구시_남구청",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 이천로 51","대구광역시","AC완속","대구시_남구청",2
"","중구","대구환경공단","24시간 이용가능","","대구광역시 중구 명륜로 27-1남산2동 행정복지센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_남산2동 행정복지센터",1
"","서구","대구환경공단","09:00~18:00","","대구광역시 서구 서대구로3길 46대구시_내당4동","대구광역시","DC차데모+AC3상+DC콤보","대구시_내당4동",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 오봉로 164대구 지식산업센터","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구 지식산업센터",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구 동원로 84","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구광역시 차량등록사업소",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 월배로 250대구도시철도공사","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구도시철도공사",1
"","중구","대구환경공단","09:00~18:00","","대구광역시 중구 공평로 88대구시청 지하주차장 내","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구시청",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 유통단지로 45대구유통단지 전자관","대구광역시","DC차데모+AC3상+DC콤보","대구시_대구유통단지 전자관",1
